Date,FIPS,Recip_County,Recip_State,Series_Complete_Yes,Series_Complete_Pop_Pct,pop,county,state,y,pop_num,n,row_id,ind_post_mean,ind_CI_low,ind_CI_high,hier_post_mean,hier_CI_low,hier_CI_high,pred_mean,pred_PI_low,pred_PI_high,obs_rate,label
9/14/2022,02013,Aleutians East Borough,AK,2492,74.7,36128.95662,Aleutians East Borough,AK,2492,36128.95662,36129,1,0.06901831713720909,0.06645000746852482,0.07173182484570623,0.06901575185111533,0.06649420800731193,0.07160743112577257,2492.766,2362,2627,0.06897506158487642,Aleutians East Borough | 02013
9/14/2022,02016,Aleutians West Census Area,AK,3591,63.7,1105.617978,Aleutians West Census Area,AK,3591,1105.617978,3591,2,0.9997227413456291,0.9989579461044563,0.9999922370998668,0.9999408752556191,0.9995585028122709,0.9999999999991128,3590.795,3589,3591,1,Aleutians West Census Area | 02016
9/14/2022,02020,Anchorage Municipality,AK,198197,68.8,18485.65574,Anchorage Municipality,AK,198197,18485.65574,198197,3,0.9999949253727696,0.999982014288788,0.9999998569473788,0.999998862928109,0.9999920279835682,0.9999999999999816,198196.774,198195,198197,1,Anchorage Municipality | 02020
9/14/2022,02050,Bethel Census Area,AK,12556,68.3,228786.1538,Bethel Census Area,AK,12556,228786.1538,228786,4,0.05489369062575975,0.05392232749112468,0.05585869491502224,0.05486934122579377,0.05392154594529376,0.055814553093758955,12549.121,12251,12838.025,0.0548809804795748,Bethel Census Area | 02050
9/14/2022,02060,Bristol Bay Borough,AK,948,95,11145.20548,Bristol Bay Borough,AK,948,11145.20548,11145,5,0.08513672079342775,0.08003392592549906,0.09034726941106996,0.085111023718917,0.08001768427837097,0.09034714287850142,948.5995,867,1029.0249999999999,0.08506056527590848,Bristol Bay Borough | 02060
9/14/2022,02068,Denali Borough,AK,1150,54.8,23605.71429,Denali Borough,AK,1150,23605.71429,23606,6,0.048789006428677575,0.04605504069560376,0.05157524557572451,0.04874989900829706,0.0460459945487386,0.05143246473747949,1149.677,1062,1242,0.048716428026772854,Denali Borough | 02068
9/14/2022,02070,Dillingham Census Area,AK,2609,53.1,36946.9697,Dillingham Census Area,AK,2609,36946.9697,36947,7,0.07068724172615151,0.06813858245976893,0.07322384799261457,0.07060933390641348,0.06796274148543867,0.07320041969018738,2608.3195,2477,2747,0.0706146642487888,Dillingham Census Area | 02070
9/14/2022,02090,Fairbanks North Star Borough,AK,59776,61.7,44606.12691,Fairbanks North Star Borough,AK,59776,44606.12691,59776,8,0.9999831087318174,0.9999414757031699,0.9999996081068472,0.9999966630008342,0.9999756729741722,0.9999999999999005,59775.785,59774,59776,1,Fairbanks North Star Borough | 02090
9/14/2022,02100,Haines Borough,AK,1778,70.3,9397.526502,Haines Borough,AK,1778,9397.526502,9398,9,0.18918123397941775,0.1813852483531995,0.197605789607471,0.1890994006725834,0.18136342919939566,0.19659271899779626,1777.755,1671,1881,0.1891891891891892,Haines Borough | 02100
9/14/2022,02105,Hoonah-Angoon Census Area,AK,1529,71.2,24689.87342,Hoonah-Angoon Census Area,AK,1529,24689.87342,24690,10,0.061943222257727575,0.059166358982339046,0.06482018836723974,0.061941759286406495,0.05894859137304832,0.06505857120216833,1529.5635,1425,1632,0.06192790603483191,Hoonah-Angoon Census Area | 02105
